x,z,vy,f,f2
0.9947786029845752,0.008606988775331809,-0.00973142496199278,-127.10976822965988,7.706718926381283e-10
0.994782636032418,0.008612319531198448,-0.009732438177974513,-127.10607362140858,4.167864693017274e-10
0.9947866687365091,0.00861765054711737,-0.009733444367838276,-127.10233918311066,6.535897123411855e-11
0.9947907010931252,0.008622981825869533,-0.00973444353772993,-127.09856640836712,3.0631819704569206e-10
0.9947947330986818,0.008628313370130073,-0.009735435694489316,-127.09475118379764,6.829126727776804e-10
0.9947987647492116,0.008633645182862946,-0.009736420843100316,-127.09089727940328,1.0573059557115327e-09
0.9948027960410968,0.008638977266765949,-0.009737398990275727,-127.08700093202542,1.4370854139748292e-09
0.9948068269703692,0.008644309624800972,-0.00973837014103305,-127.08306942394164,1.7806722492177356e-09
0.9948108575337375,0.00864964225941676,-0.00973933430371679,-127.07891089843984,2.251875530000689e-09
0.9948148877100528,0.008654975186556606,-0.009740291399611129,-127.07505958453159,2.463678260485526e-09
0.99481891752789,0.008660308384585261,-0.009741241592502378,-127.07099972197712,2.4006096107956292e-09
0.9948229469678171,0.008665641868145222,-0.009742184812055896,-127.06689844510308,2.329747147364579e-09
0.9948269760259592,0.00867097564012198,-0.00974312106383823,-127.06275496860012,2.263883083052832e-09
0.9948310046983666,0.008676309703455442,-0.009744050353073658,-127.05856815237568,2.1913685282986524e-09
0.9948350329809834,0.00868164406116478,-0.009744972684486606,-127.05434077604949,2.11355126349295e-09
0.9948390608700116,0.008686978716072873,-0.009745888064080322,-127.05006939767547,2.0280731690254872e-09
0.9948430883613322,0.008692313671243753,-0.009746796496310309,-127.04575557062216,1.9437636984532486e-09
0.99484711545097,0.008697648929631265,-0.009747697986355164,-127.04139820352594,1.853704408979563e-09
0.9948511421348476,0.008702984494265122,-0.009748592538917186,-127.03699785562893,1.7582807423688445e-09
0.9948551684089388,0.008708320368134839,-0.009749480158965129,-127.03255405080195,1.6639157898447043e-09
0.9948591942691728,0.008713656554262409,-0.009750360987022037,-127.02806625687228,1.5613147175403975e-09
0.9948632197114284,0.008718993055706245,-0.009751234756070593,-127.02353413037895,1.4558480369586865e-09
0.9948672447315512,0.00872432987554803,-0.009752101606335821,-127.01895721881851,1.3445667241472879e-09
0.9948712693253442,0.008729667016900134,-0.009752961542040688,-127.01433753678765,1.23294473604258e-09
0.9948752934887976,0.008735004482732494,-0.009753814568333949,-127.0096713713694,1.1160439569194936e-09
0.9948793172175548,0.008740342276274845,-0.009754660688707194,-127.00496066905986,9.953619745485932e-10
0.9948833405074397,0.008745680400619136,-0.00975549990754695,-127.00020537008812,8.714562347052549e-10
0.9948873633542696,0.008751018858860498,-0.009756332229229852,-126.99540408774382,7.465212732703286e-10
0.9948913857537324,0.008756357654190356,-0.009757157657526444,-126.99055687410367,6.136465245626972e-10
0.9948954077015196,0.008761696789795484,-0.009757976196247731,-126.98566550697596,4.852367267556591e-10
0.9948994291934876,0.008767036268736645,-0.009758787850020932,-126.98072263861087,2.988288037338662e-10
